,Rank,Name,subscribers,Primary language,Category,Country
0,1,T-Series,238,Hindi[7][8],Music,India
1,2,Cocomelon,155,English,Education,United States
2,3,Sony Entertainment Television India,153,Hindi[9],Entertainment,India
3,4,MrBeast,137,English,Entertainment,United States
4,5,PewDiePie,111,English,Games,Sweden
5,6,Kids Diana Show,109,English[10][11][12],Entertainment,Ukraine
6,7,Like Nastya,105,English,Entertainment,United States
7,8,Vlad and Niki,94.9,English,Entertainment,Russia
8,9,WWE,93.8,English,Sports,United States
9,10,Zee Music Company,93.4,Hindi[13][14],Music,India
10,11,Blackpink,84.8,Korean,Music,South Korea
11,12,Goldmines,83.3,Hindi,Film,India
12,13,5-Minute Crafts,79.2,English,How-to,Cyprus[a]
13,14,Sony SAB,78.2,Hindi,Entertainment,India
14,15,BangtanTV,73.9,Korean,Music,South Korea
15,16,Justin Bieber,71.1,English,Music,Canada
16,17,Hybe Labels,69.5,Korean,Music,South Korea
17,18,Canal KondZilla,66.4,Portuguese,Music,Brazil
18,19,Zee TV,66.3,Hindi,Entertainment,India
19,20,Pinkfong,66.1,English,Education,South Korea
20,21,Shemaroo Entertainment,64.2,Hindi,Music,India
21,22,ChuChu TV,63.2,Hindi[16],Education,India
22,23,Colors TV,60.6,Hindi,Entertainment,India
23,24,Dude Perfect,59,English,Sports,United States
24,25,Movieclips,58.8,English,Film,United States
25,26,T-Series Bhakti Sagar,58.4,Hindi,Music,India
26,27,Tips Industries,57.3,Hindi,Entertainment,India
27,28,Wave Music,56.6,Bhojpuri,Music,India
28,29,Marshmello,56.2,English,Music,United States
29,30,Sony Music India,56.1,Hindi,Music,India
30,31,El Reino Infantil,56,Spanish,Music,Argentina
31,32,Aaj Tak,55.9,Hindi,News,India
32,33,Eminem,55.6,English,Music,United States
33,34,LooLoo Kids,53.1,English,Music,Romania
34,35,Ed Sheeran,53,English,Music,United Kingdom
35,36,Yash Raj Films,52.7,Hindi,Music,India
36,37,Ariana Grande,52.4,English,Music,United States
37,38,Taylor Swift,51.1,English,Music,United States
38,39,BillionSurpriseToys,50.6,English,Entertainment,United States
39,40,Infobells,49.8,Hindi,Education,India
40,41,JuegaGerman,47.6,Spanish,Games,Chile
41,42,Billie Eilish,47.4,English,Music,United States
42,43,Badabun,46.5,Spanish,Entertainment,Mexico
43,44,Fernanfloo,45.7,Spanish,Games,El Salvador
44,45,Bad Bunny,45.4,Spanish,Music,United States (Â Puerto Rico)
45,46,SonyMusicIndiaVEVO,45.4,Hindi,Music,India
46,47,Shemaroo,45.2,Hindi,Entertainment,India
47,48,Get Movies,45,Russian,Entertainment,Russia
48,49,Felipe Neto,44.9,Portuguese,Entertainment,Brazil
49,50,A4,44.6,Russian,Entertainment,Belarus
